Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union (27),EUU,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0116753462968408,0.0062176130710179,0.0054894508129375,0.0037356232550953,0.0064683698950088,0.0071989057820969,0.0034476899758255,0.0056211234111273,0.0018442119616484,0.0018494574754289,0.003376860959979,0.0012612221285916,0.0012547138551585,0.0013780024896543,0.0054670796406037,0.0078015521404066,0.0243886910498423,0.024481046458134,0.0102254556893449,0.0070137980623683,0.0491487617211934,0.0665433192185362,0.0203319394404653,0.0131775416299297,0.0101949398196915,0.0079163557296614,0.0081932544890609,0.0146422587876156,0.0159619043166271,0.016564053711249
European Union (27),EUU,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,0.129392031094356,0.0900310941065487,0.070623629988473,0.0729716127499196,0.064112493038163,0.0652016280554956,0.0736263176583884,0.0711177713939397,0.033703970969748,0.0421548137886433,0.112147069879681,0.121795715826962,0.101536767275857,0.0912028282584527,0.105577301298921,0.121633146169851,0.164333947568506,0.153479452608691,0.204381702009914,0.132725646627532,0.187314248279475,0.243516181539684,0.193063636177476,0.161437695325686,0.11866854766951,0.0726326713132457,0.0514076888348973,0.0727337211811917,0.094702222861637,0.0778389757498087
European Union (27),EUU,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0.0201051408225758,0.0155192378241301,0.0141855457104152,0.0147448004607928,0.0146642566151517,0.0159552616675629,0.0162934521985752,0.0146370707991979,0.012494186160196,0.0119230040068362,0.0159872325057035,0.0057369373201686,0.004247445784932,0.0045183617955147,0.0036591022869459,0.0038830594679357,0.0049635109054213,0.0057688728436928,0.0056345767630801,0.0047903595550697,0.0053647215997819,0.0037689147989096,0.0037141318849055,0.0037005948567829,0.0038075173867137,0.0038885807573474,0.0037538008856185,0.0041953590846495,0.0052389302382026,0.0063619930101172
European Union (27),EUU,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,8.00862174125596,7.00558088275795,6.22106710866598,5.44952918191276,5.96535941283426,7.27161954563096,7.00109031900104,7.55541319471067,7.92458426472505,7.70457900661183,7.48062178344305,7.26406879490714,6.91863614535839,6.3770666184171,7.15270828630463,6.98067422962548,7.84029990301402,8.43247888547217,6.95577363234957,3.80866453774186,4.47336748201806,5.31482709497081,4.78581684615088,5.04492444012477,5.72135225773663,6.47717507605711,6.92431498051417,7.63990304898548,7.89747419413562,8.17211491851758
European Union (27),EUU,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,0.154627080396388,0.148202613416399,0.137859129532731,0.135757761195072,0.127605404763927,0.121630643707119,0.116420306184743,0.111373639212354,0.106499934836079,0.1002364618519,0.0948129596570395,0.0925993465411017,0.0903969547063329,0.087375702777041,0.0825262394282184,0.0816919575326329,0.0791706839422135,0.0785996740835019,0.0794336705744837,0.0812523770592379,0.0781493418340932,0.0749262228442439,0.0733037329493869,0.0695810436581888,0.0655695554064552,0.0629601633385873,0.0589265439408834,0.0571982567032025,0.057602538524447,0.0580601676835869
European Union (27),EUU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,20.6501830788581,20.0646409464218,19.4988574192754,18.7228500633524,17.8908741315147,16.9772584328407,15.9932360682709,14.9521081676115,14.6525778004221,14.3683732007989,14.1152565065423,13.8332438131813,13.5823978575519,13.5700796742683,13.542066487257,13.4697995137457,13.3102742964251,13.0913370455691,12.5136223634438,11.9795884599646,11.4897172242819,11.0092632619744,10.5414649750327,10.2445804915971,9.9608352823673,9.68721172605404,9.41033082645645,9.14351008707404,8.92777695452575,8.73942238775142
European Union (27),EUU,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,3.4153299331665,3.33923006057739,3.4466700553894,3.41001009941101,2.84916996955872,2.78145003318787,2.89738988876343,3.01830005645752,2.5855700969696,2.64264011383057,2.42770004272461,2.45210003852844,2.21938991546631,2.08579993247986,1.94233000278473,1.32705998420715,1.70405995845795,2.63127994537354,2.58292007446289,2.54171991348267,2.57961010932922,3.13852000236511,3.05404996871948,2.60584998130798,2.82465004920959,2.54079008102417,2.47238993644714,2.41985011100769,2.48531007766724,2.50110006332397
European Union (27),EUU,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,4.05178022384644,3.96336007118225,4.06532001495361,4.08793020248413,3.70332002639771,3.61384010314941,3.68989992141724,3.74328994750977,3.07817006111145,2.9200599193573,2.57796001434326,2.45695996284485,2.13615989685059,1.99093997478485,1.86932003498077,1.27325999736786,1.59891998767853,2.54523992538452,2.53939008712769,2.5010199546814,2.52863001823425,3.13702011108398,3.02649998664856,2.56926989555359,2.7427499294281,2.41278004646301,2.32459998130798,2.30268001556396,2.34200000762939,2.32136011123657
European Union (27),EUU,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,2.80832004547119,2.74392008781433,2.85648989677429,2.7632999420166,2.03450989723206,1.98784995079041,2.14206004142761,2.32715010643005,2.11591005325317,2.37826991081238,2.28456997871399,2.44746994972229,2.2985999584198,2.17603993415833,2.01175999641418,1.37821996212006,1.80411994457245,2.71315002441406,2.62431001663208,2.58038997650146,2.62806010246277,3.13994002342224,3.08024001121521,2.64058995246887,2.90232992172241,2.66214990615845,2.61240005493164,2.53080010414124,2.62091994285584,2.67101001739502
European Union (27),EUU,Age dependency ratio (% of working-age population),SP.POP.DPND,49.1847722241785,49.2049800351422,49.142192046772,49.0250495684343,48.8932832757716,48.7610401720565,48.6941777122496,48.6180871322633,48.536140953688,48.4560600622273,48.3957023846143,48.3847580749475,48.3947812365445,48.4180736250735,48.4399051981109,48.4520609995118,48.636506130308,48.7917151540228,48.9585530853181,49.1891399227146,49.5218291471829,50.0771016898196,50.6705091984925,51.3121183794307,51.9954001803383,52.7047132383801,53.3257697604751,53.997879316619,54.6903099112575,55.3584319146302
