country,c_code,indicator,i_code,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars)CU_USD_M,VC_DSR_CHLN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73e-07,,0.0
Afghanistan,AFG,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars)CU_USD,VC_DSR_DDPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Afghanistan,AFG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,4.84285686566253,6.83998223656721,9.38832772083979,10.58413068423,11.5750442390122,4.95918037606027,4.47210362973721,4.3216854169302,3.94105709996345,3.98149379462535,3.88832174612488,3.84188120492596,3.51231703339133,3.22995723026215
Afghanistan,AFG,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,4.84285686566253,6.83998223656721,9.38832772083979,10.58413068423,11.5750442390122,4.95918037606027,4.17944854276306,4.10825623711864,3.73272021162013,3.78980675535297,3.77581257666065,3.71038110758839,3.44212677085205,3.1735454944513
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,,,,,,,,,,,,,,0.08418062,0.65096337,0.5429256,0.5291841,0.49784002,0.55994755,0.62779981,0.53190351,0.46915734,0.47999978,0.34288704,0.44335812,0.47265655,0.52267283,0.60012823,0.64313394,0.54922014,1.08443093
Afghanistan,AFG,Electricity/Heat,,All GHG,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.13,0.1,0.16,0.17,0.19,0.11,0.1,0.1,0.05,0.07,0.07,0.07,0.08,0.05,0.05,0.08,0.08,0.12,0.12
Afghanistan,AFG,Electricity/Heat,,CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Electricity/Heat,,CO2,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.13,0.1,0.16,0.17,0.19,0.11,0.1,0.1,0.05,0.07,0.07,0.07,0.08,0.05,0.05,0.08,0.08,0.12,0.12
Afghanistan,AFG,Electricity/Heat,,N2O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,"Employed population below international poverty line, by sex and age (%)PERCENT15+BOTHSEX",SI_POV_EMP1,,,,,,,,,,,,66.3,66.9,64.6,64.2,64.1,62.9,61.5,59.3,57.8,54.2,51.2,50.2,47.7,46.1,44.8,43.7,42.7,41.3,40.6,39.8
Afghanistan,AFG,"Employed population below international poverty line, by sex and age (%)PERCENT15+FEMALE",SI_POV_EMP1,,,,,,,,,,,,71.6,72.2,70.1,69.7,69.6,68.6,67.4,65.4,64.0,60.7,57.9,57.0,54.6,53.1,51.8,50.7,49.5,48.0,47.4,46.6
Afghanistan,AFG,"Employed population below international poverty line, by sex and age (%)PERCENT15+MALE",SI_POV_EMP1,,,,,,,,,,,,65.4,66.0,63.7,63.2,63.1,61.8,60.5,58.2,56.7,53.1,50.0,49.0,46.4,44.7,43.3,42.1,41.0,39.5,38.8,38.0
Afghanistan,AFG,"Employed population below international poverty line, by sex and age (%)PERCENT15-24BOTHSEX",SI_POV_EMP1,,,,,,,,,,,,66.3,66.9,64.8,64.4,64.4,63.3,62.1,59.9,58.5,55.2,52.4,51.5,49.3,47.9,46.9,46.0,45.1,43.9,43.4,42.7
Afghanistan,AFG,"Employed population below international poverty line, by sex and age (%)PERCENT15-24FEMALE",SI_POV_EMP1,,,,,,,,,,,,70.2,70.7,68.7,68.3,68.3,67.3,66.2,64.2,62.9,59.8,57.1,56.3,54.1,52.7,51.5,50.5,49.5,48.1,47.5,46.8
Afghanistan,AFG,"Employed population below international poverty line, by sex and age (%)PERCENT15-24MALE",SI_POV_EMP1,,,,,,,,,,,,65.6,66.2,64.0,63.6,63.6,62.5,61.2,59.1,57.7,54.3,51.5,50.6,48.3,46.8,45.8,44.8,43.9,42.6,42.1,41.4
Afghanistan,AFG,"Employed population below international poverty line, by sex and age (%)PERCENT25+BOTHSEX",SI_POV_EMP1,,,,,,,,,,,,66.3,66.9,64.6,64.1,63.9,62.7,61.3,59.0,57.5,53.9,50.8,49.7,47.1,45.4,44.0,42.8,41.7,40.2,39.4,38.6
Afghanistan,AFG,"Employed population below international poverty line, by sex and age (%)PERCENT25+FEMALE",SI_POV_EMP1,,,,,,,,,,,,72.2,72.8,70.7,70.3,70.2,69.2,67.9,65.9,64.4,61.1,58.2,57.3,54.9,53.3,52.0,50.8,49.6,48.0,47.3,46.5
Afghanistan,AFG,"Employed population below international poverty line, by sex and age (%)PERCENT25+MALE",SI_POV_EMP1,,,,,,,,,,,,65.3,65.9,63.5,63.0,62.9,61.6,60.2,57.9,56.3,52.6,49.5,48.3,45.6,43.8,42.4,41.1,39.8,38.3,37.5,36.6
Afghanistan,AFG,Energy,,All GHG,2.61,2.43,1.54,1.46,1.37,1.28,1.21,1.14,1.08,0.85,0.84,0.81,1.1,1.28,1.09,1.6,2.03,2.26,4.28,5.82,8.27,10.29,9.63,7.73,6.83,8.09,7.42,6.94,8.23,8.27
Afghanistan,AFG,Energy,,CH4,0.28,0.24,0.2,0.16,0.12,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0.28,0.5,0.73,0.95,1.17,1.38,1.58,1.78,1.98,2.18,2.19,2.21,2.22,2.23
Afghanistan,AFG,Energy,,CO2,2.33,2.19,1.34,1.29,1.24,1.19,1.13,1.05,0.99,0.77,0.75,0.73,1.02,1.21,1.02,1.55,1.75,1.76,3.55,4.87,7.09,8.91,8.05,5.95,4.85,5.91,5.23,4.74,6.01,6.04
Afghanistan,AFG,Energy,,N2O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,,,,,,,,,,,,1.64,1.74,1.4,1.4,1.2,1.41,1.5,1.53,1.94,2.25,2.46,3.23,2.61,2.46,2.25,2.37,2.24,2.3,2.44,2.41
Afghanistan,AFG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,20.5781737687622,24.2432588226125,50.7192978736512,44.3178392396772,50.8630045999057,59.4847758807514,42.3292514484608,42.0936844468805,44.5892994893339,37.0225695736427,43.9227656125389,39.2201099807684,,
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,1.23299102251609,1.28001876082737,3.57581613520808,4.36453524429585,3.41400444390947,1.93570303554968,0.455360078332881,0.451888842930533,1.20311722800728,0.293024934195091,0.285441075824333,0.239801324400345,0.209664812936706,0.884000919857522,0.516606367688591,0.274796599141582,0.661572001890286,0.124495943884077
Afghanistan,AFG,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,0.0221456533398258,-0.0133925697947868,0.0241579441566191,,,-0.0189729768645276,0.0019902370262543,-0.0078708001860935,0.0063865777271168,-0.044510525022857,0.0026670713236935,-9.34458323458972e-05,0.0113046365066387,0.0773107292174807,0.0600461460560642,0.214940510355144,0.140009657392556
Afghanistan,AFG,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,,,,,,,,,,,,,,0.959142383641002,0.664984576494598,0.388026076587756,0.33225089186171,0.453993504602121,0.342823373587779,0.35337260360069,0.274420606546217,0.359415504857452,0.309228784377023,0.265080869687184,0.265029250096815,0.267669074229398,0.301980808118487,0.351214676303539,0.287445620518945,0.300160885365271,0.332816376920438
Afghanistan,AFG,Fugitive Emissions,,All GHG,0.28,0.24,0.2,0.16,0.12,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0.28,0.5,0.73,0.95,1.17,1.38,1.58,1.78,1.98,2.18,2.19,2.21,2.22,2.23
Afghanistan,AFG,Fugitive Emissions,,CH4,0.28,0.24,0.2,0.16,0.12,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0.28,0.5,0.73,0.95,1.17,1.38,1.58,1.78,1.98,2.18,2.19,2.21,2.22,2.23
Afghanistan,AFG,Fugitive Emissions,,N2O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,7228792185.8025,7867259194.15068,7978511520.99477,8874475611.97397,9349917056.94245,10642666466.7061,11060389403.7128,13426265139.5021,15354604611.6719,15420069703.0793,17386481260.8962,18360253681.3442,18860486754.6234,19134211763.859,19566705069.6652,20084636379.3769,20323488524.6834,21118462796.7609
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,451798704100.0,491702820800.0,498656078800.0,554653734400.0,584368771600.0,665165465300.0,691273102200.0,839140071400.0,959661073000.0,963752633900.0,1086653136600.0,1147513804100.0,1178778315300.0,1195886097800.0,1222916881100.0,1255287530100.0,1270215762500.0,1319901565700.0
Afghanistan,AFG,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,182162721300.0,221358563000.0,249791940700.0,308163225800.0,348048404600.0,485419056200.0,515046858600.0,611692107000.0,726231122700.0,850347275400.0,1028794220100.0,1138809791300.0,1176469485800.0,1222756495400.0,1222916881100.0,1285460326500.0,1327690394700.0,1469596303300.0
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,4055179566.34981,4515558808.10994,5226778808.89209,6209137624.77181,6971285594.68013,9747879531.86311,10109305182.952,12416161048.8412,15856678596.148,17805113118.8938,19907317065.6666,20146404996.223,20497126770.1335,19134211763.859,18116562464.9088,18753469630.2586,18053228578.8878,18799450742.7823
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,40.3194430720812,45.0187702075513,50.0930303108139,55.5595692749382,59.5597200800181,72.9771886129218,74.507001207026,72.8951134438698,75.6757925409776,88.2329391888576,94.6754935359564,99.2414894906797,99.8041336975721,102.246902748467,100.0,102.403656188443,104.524792865653,111.341356165496
Afghanistan,AFG,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,,,,,,,,,,,,,,40.3194430720812,45.0187702075514,50.0930303108139,55.5595692749383,59.5597200800181,72.9771886129219,74.507001207026,72.8951134438698,75.6757925409776,88.2329391888576,94.6754935359564,99.2414894906797,99.8041336975721,102.246902748467,100.0,102.403656188443,104.524792865653,111.341356165496
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,8.83227781263571,1.41411798058979,11.2297148236429,5.35740325126351,13.8263195479763,3.92498382161573,21.3905283931066,14.3624414692681,0.426354784529209,12.752287088717,5.60074465808154,2.72454336394854,1.45131466009755,2.26031420130452,2.64700320195786,1.18922812838034,3.911603419423
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,319.847107262897,332.22000973489,322.668009493498,345.925813841934,353.72059702447,392.71046559534,398.971116543866,472.842291632566,526.103675610541,511.998514848414,557.94969211234,568.964543504121,565.179273313985,556.007220861443,552.996907717033,553.355051712755,546.743010078504,555.138996255113
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,19990.4084745062,20763.7134968558,20166.7145488019,21620.3247225004,22107.4978006707,24544.3602308766,24935.6502157957,29552.5904068512,32881.4209557612,31999.8499837851,34871.7934296744,35560.2204112156,35323.6414471764,34750.3891934826,34562.2449582325,34584.6289179576,34171.3770544337,34696.1252525744
Afghanistan,AFG,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,8060.02136475503,9347.56846570382,10102.1184316267,12012.1592916642,13167.1638067756,17911.7840595218,18578.8052072627,21542.3943026763,24883.2759070074,28234.4081767188,33015.0425343834,35290.4924022591,35254.4543367909,35531.1966433738,34562.2449582325,35415.9244911941,35717.5610854881,38631.1363930956
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,179.426579211394,190.683814295088,211.382074198939,242.031313175022,263.733601866274,359.693157866109,364.6635420423,437.26874023514,543.306526178281,591.190030208565,638.845851607289,624.315454506615,614.223342360392,556.007220861443,512.012778129357,516.679862210543,485.668418729808,494.179349886029
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,3.86838029515866,-2.87520316702623,7.20796721836321,2.25331064367975,11.0227871655922,1.59421545820915,18.5154192936617,11.264090568989,-2.68106105621827,8.97486534263292,1.97416569047293,-0.665291050796171,-1.62285718631547,-0.541416195952564,0.0647641950115201,-1.19490038335884,1.53563667424
Afghanistan,AFG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,1189.78466765718,1235.81006329565,1200.27801321734,1286.79365893927,1315.78911741835,1460.8257513794,1484.11446132539,1758.90447663765,1957.02906990812,1904.55992565594,2075.49161435331,2116.46525771251,2102.38460375974,2068.26590413364,2057.06797755329,2058.4002210698,2033.80438893717,2065.03623501599
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,876.327642682203,928.191568870689,925.704226067833,1023.54950071531,1078.90737037771,1230.20478951003,1273.78755500476,1519.31073653477,1710.76292769203,1699.48811019742,1914.77422837964,2015.51477466948,2069.42402167356,2087.30532306683,1981.11806850696,2058.4002210698,2082.3921973316,2152.19024282945
Afghanistan,AFG,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,5572.18480020993,5742.1537181977,5529.23236143351,5900.21413865045,6055.20526942152,6771.46429528836,6889.84466557515,8199.54684023603,9118.7889754236,8743.61767849013,9421.7829169954,9451.82116887206,9241.04761834741,8950.39449742221,8795.23407996816,8698.01716930822,8490.08570209311,8522.60600598112
Afghanistan,AFG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,26890054382.385,29265058689.4061,29678901146.3632,33011757107.8906,34780330056.488,39589169629.9389,41143038133.026,49943751386.6576,57116893447.1231,57360414055.1093,64675178730.6937,68297470348.5577,70158264544.684,71176481723.2911,72785293847.6716,74711922906.3738,75600418108.8303,78557606648.6734
